parachute diameter [m] ,wheel radius [m]    ,chassis mass [kg]  ,speed reducer gear diameter (d2) [m] ,rocket fuel mass [kg] ,Time               ,Feasible ,constraint_distance     ,constraint_strength ,constraint_velocity ,constraint_cost     ,constraint_battery
    18.43076758398359  ,0.1712020897084624  ,250.06672858101732 ,0.09693432847386271                  ,   100.10261306440785 ,5637.070341647623  ,False    ,0.4482607496098758      ,-5.251668214525433  ,-0.9999501773660129 , 3.0129894707478067 ,-0.4393427540729894
    18.429511692465372 ,0.17007824194816068 ,250.06478083793016 ,0.09741452925198654                  ,   289.9567839357926  ,5195.9052293695995 ,False    ,0.457080436199611       ,-5.251619520948254  ,-0.9999811920740113 , 3.053090245984373  ,-0.43150290776864914
    19.0               ,0.2                 ,800.0              ,0.05                                 ,   100.0              ,2837.0611453250162 ,False    ,1.1368683772161603e-16  ,-19.0               ,-0.9999576717201138 ,10.607434546803677  ,-0.7304651094121046
    19.0               ,0.2                 ,800.0              ,0.05                                 ,   290.0              ,2338.644589804901  ,False    ,1.1368683772161603e-16  ,-19.0               ,65.26233398480468   ,10.64701788013701   ,-0.7304651094121046
    18.436049098980483 ,0.2950916473806297  ,799.9760144035463  ,0.07854141828396013                  ,   100.05710198013658 ,4157.745282011221  ,False    ,0.0                     ,-18.999400360088657 ,-0.9999580016620203 ,10.642576902281876  ,-0.6915572989819354
    19.116513467423626 ,0.22724173369682263 ,799.8907398905081  ,0.13802842565970405                  ,   289.81132242174283 ,5053.081077681033  ,False    ,0.6385252404765954      ,-18.997268497262702 ,62.641903515851325  ,10.76348229226991   ,-0.1484237324450462
    19.0               ,0.7                 ,250.0              ,0.05                                 ,   100.0              ,1373.857118664902  ,False    ,1.1368683772161603e-16  ,-5.25               ,-0.999950074985932  , 2.974795657914789  ,-0.8634846395067558
    19.0               ,0.7                 ,250.0              ,0.05                                 ,   290.0              , 978.5379322268145 ,False    ,1.1368683772161603e-16  ,-5.25               ,-0.9999797969053715 , 3.0143789912481225 ,-0.8634846395067558
    19.0               ,0.7                 ,250.0              ,0.12                                 ,   100.0              ,4104.326593550229  ,False    ,0.0                     ,-5.25               ,-0.999950074985932  , 3.0574345468036777 ,-0.7599031986273277
    19.0               ,0.7                 ,250.0              ,0.12                                 ,   290.0              ,3709.0074071121408 ,False    ,0.0                     ,-5.25               ,-0.9999797969053715 , 3.0970178801370114 ,-0.7599031986273277
    19.0               ,0.7                 ,800.0              ,0.05                                 ,   100.0              ,1460.202281938792  ,False    ,0.0                     ,-19.0               ,-0.9999576717201138 ,10.613684546803677  ,-0.7110913459881306
    19.0               ,0.7                 ,800.0              ,0.05                                 ,   290.0              , 961.7857264186772 ,False    ,0.0                     ,-19.0               ,65.26233398480468   ,10.65326788013701   ,-0.7110913459881306
    19.0               ,0.7                 ,800.0              ,0.12                                 ,   100.0              ,4100.068863353418  ,False    ,1.1368683772161603e-16  ,-19.0               ,-0.9999576717201138 ,10.696323435692566  ,-0.7067588881415277
    19.0               ,0.7                 ,800.0              ,0.12                                 ,   290.0              ,3601.652307833303  ,False    ,1.1368683772161603e-16  ,-19.0               ,65.26233398480468   ,10.735906769025899  ,-0.7067588881415277
14.0,0.2,250.0,0.05,100.0,2679.429085560392,False,0.0,-5.25,-0.9999517819409479,2.9505469500035972,-0.8137583554086883,43.997955083847046
14.0,0.2,250.0,0.05,150.0,2524.9886261392307,False,0.0,-5.25,-0.999959769987664,2.960963616670264,-0.8137583554086883,20.011659145355225
14.0,0.2,250.0,0.05,200.0,2219.8509273554964,False,0.0,-5.25,25.032084437282563,2.9713802833369307,-0.8137583554086883,12.557826042175293
14.0,0.2,250.0,0.08499999999999999,100.0,5509.379140685684,False,0.16660589704342657,-5.25,-0.9999517819409479,2.983359450003597,-0.6147355868824514,62.05248975753784
14.0,0.2,250.0,0.08499999999999999,150.0,5354.938681264523,False,0.16660589704342657,-5.25,-0.999959769987664,2.993776116670264,-0.6147355868824514,100.78506898880005
